placement_id,candidate_id,placement_status,time_to_hire_days,offered_salary_gbp,offer_accepted,client_satisfaction_score,rehire_likelihood,placement_fee_gbp,estimated_fee_value_gbp,interview_rounds,hiring_manager,recruiter_assigned,client_company,client_industry,role_title,contract_type,placement_region,start_date,end_date,probation_outcome,performance_rating,invoice_status,replacement_required
32535290,6604076,terminated,25,64500,yes,2,no,19,12255,4,Oliver Green,Holly Evans,GreenGrid Energy,Telecommunications,Frontend Developer,fixed-term,England,2023-10-02,2024-11-13,not applicable,3,paid,yes
39025406,3893821,completed,42,48000,yes,8,maybe,20,9600,2,Claire Robinson,Amira Khan,Aster Cloud Systems,Financial Services,Product Manager,permanent,Northern Ireland,2023-03-09,2023-06-07,passed,6,paid,no
57344767,6102738,completed,48,73000,yes,7,maybe,16,11680,4,Nadia Hussain,Priya Nair,Summit Learning Tech,Technology,Data Analyst,fixed-term,Northern Ireland,2024-12-12,2025-05-14,failed,7,paid,no
88677119,7369168,terminated,25,44500,no,3,no,10,4450,3,Sanjay Rao,Amira Khan,Vertex Retail Solutions,Cybersecurity,DevOps Engineer,permanent,Republic of Ireland,2024-02-16,2024-05-11,extended,2,pending,yes
38234885,6690087,active,29,39000,yes,8,maybe,16,6240,2,Michael Turner,Priya Nair,Orion Telecom,Telecommunications,Project Manager,permanent,Remote,2025-07-02,,not applicable,8,paid,no
52556551,6598021,active,41,21500,yes,8,maybe,10,2150,3,Eoin Kelly,Grace Mitchell,QuantumWorks,Consulting,Data Analyst,permanent,Republic of Ireland,2024-06-25,,not applicable,7,pending,no
36834059,6763146,completed,19,62500,yes,10,yes,17,10625,2,Sanjay Rao,Grace Mitchell,Orion Telecom,Healthcare,IoT Security Engineer,permanent,Scotland,2023-09-21,2024-07-01,failed,10,pending,no
59411212,7896336,completed,53,29000,yes,7,yes,17,4930,2,Michael Turner,Daniel Hughes,Vertex Retail Solutions,Energy,Technical Support Engineer,permanent,England,2023-02-23,2024-08-10,not applicable,5,paid,no
15000351,7064984,active,19,28500,pending,10,yes,10,2850,3,Michael Turner,Megan Campbell,Vertex Retail Solutions,Education,HR Coordinator,permanent,Republic of Ireland,2023-07-17,,not applicable,8,not invoiced,no
16958240,4633440,completed,59,34500,yes,8,yes,13,4485,4,Nadia Hussain,Holly Evans,Cedar Finance Group,Education,QA Engineer,permanent,Remote,2024-09-10,2025-02-03,extended,8,paid,no
74560287,9923433,terminated,51,72000,yes,6,maybe,17,12240,5,Patrick Murphy,Adam Clarke,Nimbus Cyber Defence,Retail,Technical Support Engineer,fixed-term,Scotland,2025-08-09,2026-01-31,extended,4,pending,no
69575458,9129222,on probation,32,50000,yes,5,maybe,20,10000,1,Marta Nowak,Amira Khan,Cobalt Consulting,Cybersecurity,DevOps Engineer,permanent,England,2024-12-24,,not applicable,,paid,no
65461038,4624051,terminated,5,69000,no,5,maybe,18,12420,4,Patrick Murphy,Daniel Hughes,Pioneer Manufacturing,Public Sector,Machine Learning Engineer,contract,Scotland,2025-11-19,2027-02-27,passed,5,paid,yes
78918447,4157714,on probation,63,40000,yes,6,no,14,5600,3,Eoin Kelly,Grace Mitchell,Pioneer Manufacturing,Technology,Data Engineer,permanent,Republic of Ireland,2023-08-10,,passed,,pending,no
78951218,4967678,terminated,70,34000,no,1,maybe,12,4080,4,Emma Collins,Naomi Patel,OakTree Platforms,Financial Services,Cybersecurity Analyst,contract,Northern Ireland,2023-02-20,2024-05-26,passed,2,pending,yes
94317364,9238844,extended contract,67,68500,yes,7,yes,16,10960,3,Nadia Hussain,Thomas Wright,Cobalt Consulting,Education,Finance Analyst,fixed-term,Republic of Ireland,2026-02-27,2026-09-02,passed,7,not invoiced,no
55120693,2310009,active,30,50000,yes,8,yes,10,5000,2,Claire Robinson,Naomi Patel,Redstone AI,Technology,Network Engineer,permanent,England,2024-03-29,,not applicable,9,pending,no
36660023,5999813,completed,56,34500,yes,9,yes,18,6210,2,Nadia Hussain,Amira Khan,Pioneer Manufacturing,Education,UX Designer,contract,Wales,2024-10-24,2025-11-28,failed,10,pending,no
36483899,5380782,active,29,20000,yes,8,yes,20,4000,3,Eoin Kelly,Thomas Wright,BlueHarbour Health,Manufacturing,Finance Analyst,permanent,Republic of Ireland,2023-03-16,,not applicable,6,paid,no
12069694,5658806,completed,31,68500,yes,10,yes,19,13015,3,Eoin Kelly,Priya Nair,Orion Telecom,Technology,Marketing Analyst,permanent,Scotland,2023-12-29,2025-02-07,extended,8,partially paid,no
39775042,5334879,terminated,37,32500,no,5,maybe,16,5200,5,Michael Turner,Amira Khan,NorthBridge Analytics,Healthcare,AI Research Engineer,permanent,England,2023-06-06,2024-02-18,extended,3,paid,yes
13267781,8387425,on probation,12,32500,no,3,no,20,6500,4,Emma Collins,James Wilson,OakTree Platforms,Public Sector,Business Analyst,contract,Northern Ireland,2023-08-04,,not applicable,,paid,no
10695503,6229382,completed,30,41000,yes,7,maybe,14,5740,4,Oliver Green,Priya Nair,Foyle Secure Networks,Public Sector,Data Analyst,fixed-term,Wales,2023-03-08,2024-02-21,extended,5,paid,no
96760656,9275053,on probation,49,55500,no,3,maybe,14,7770,3,Hannah Foster,Amira Khan,Cobalt Consulting,Healthcare,AI Research Engineer,fixed-term,Scotland,2025-09-29,,passed,,paid,no
96256858,9744059,terminated,30,30000,no,5,no,19,5700,3,Eoin Kelly,Sean O'Donnell,Foyle Secure Networks,Healthcare,Cloud Engineer,contract,Wales,2023-11-24,2024-11-20,extended,3,paid,yes
61643613,3118972,completed,33,49000,yes,9,yes,16,7840,4,Michael Turner,Amira Khan,BlueHarbour Health,Cybersecurity,DevOps Engineer,contract,Scotland,2024-07-27,2025-09-23,not applicable,9,paid,no
93281117,6529371,on probation,38,51000,yes,5,no,10,5100,4,Emma Collins,Megan Campbell,Lagan Data Labs,Healthcare,DevOps Engineer,permanent,Northern Ireland,2025-07-11,,failed,,not invoiced,no
19452769,9352724,completed,38,31000,yes,9,maybe,16,4960,5,Robert Lewis,Daniel Hughes,Lagan Data Labs,Manufacturing,Network Engineer,permanent,Remote,2025-08-23,2026-06-20,failed,9,pending,no
88245096,9422167,terminated,44,46500,no,5,maybe,18,8370,1,Claire Robinson,Sean O'Donnell,OakTree Platforms,Cybersecurity,Product Manager,permanent,Northern Ireland,2025-12-21,2027-04-27,passed,4,paid,yes
53920616,7098004,terminated,22,38000,no,1,no,15,5700,3,Laura Bennett,Thomas Wright,Vertex Retail Solutions,Financial Services,SOC Analyst,permanent,England,2024-06-07,2025-07-26,failed,1,paid,yes
35857259,3791429,on probation,5,36000,yes,6,yes,18,6480,3,Marta Nowak,Amira Khan,MetroGov Digital,Telecommunications,SOC Analyst,contract,England,2024-06-01,,extended,,paid,no
61256557,9298197,active,38,67500,yes,8,yes,20,13500,3,Robert Lewis,Daniel Hughes,NorthBridge Analytics,Technology,AI Research Engineer,fixed-term,Northern Ireland,2025-10-31,,not applicable,7,not invoiced,no
38701934,4754709,completed,24,66000,yes,9,yes,12,7920,4,Emma Collins,Daniel Hughes,Cedar Finance Group,Manufacturing,AI Research Engineer,permanent,Northern Ireland,2025-05-26,2026-08-01,passed,9,paid,no
77671279,1495353,terminated,31,31500,no,2,no,18,5670,4,Laura Bennett,Adam Clarke,Harbourline Logistics,Logistics,Product Manager,permanent,Republic of Ireland,2024-09-04,2026-02-20,failed,3,paid,yes
77439855,1528185,completed,28,40500,yes,9,maybe,13,5265,3,Sanjay Rao,James Wilson,Summit Learning Tech,Public Sector,SOC Analyst,permanent,England,2025-04-21,2026-02-27,failed,7,paid,no
47367022,9874920,active,24,75500,yes,9,yes,10,7550,4,Sanjay Rao,Holly Evans,Pioneer Manufacturing,Logistics,UX Designer,permanent,Republic of Ireland,2024-07-18,,not applicable,8,pending,no
26983282,4998141,completed,34,31500,yes,7,maybe,15,4725,1,Michael Turner,Naomi Patel,Foyle Secure Networks,Financial Services,Data Analyst,fixed-term,Scotland,2023-12-02,2024-06-24,not applicable,8,paid,no
20575098,3718023,extended contract,46,25500,yes,10,yes,16,4080,5,Marta Nowak,Priya Nair,Vertex Retail Solutions,Public Sector,Business Analyst,contract,England,2025-07-10,2026-01-22,not applicable,9,paid,no
15301502,1243540,extended contract,26,40000,yes,10,yes,12,4800,3,Robert Lewis,Sofia Garcia,Harbourline Logistics,Consulting,AI Research Engineer,fixed-term,Republic of Ireland,2023-07-11,2025-06-11,not applicable,8,paid,no
25361291,1498360,active,13,50500,yes,9,yes,13,6565,4,Nadia Hussain,Thomas Wright,BrightPath Software,Cybersecurity,Product Manager,permanent,Republic of Ireland,2025-07-22,,not applicable,9,paid,no
75002764,9203047,on probation,32,70500,yes,6,yes,11,7755,3,Claire Robinson,Adam Clarke,BrightPath Software,Manufacturing,IoT Security Engineer,permanent,Republic of Ireland,2024-08-10,,extended,,paid,no
91978635,3202951,completed,47,49000,yes,10,maybe,18,8820,3,Emma Collins,Grace Mitchell,Silverline Payments,Telecommunications,Cybersecurity Analyst,permanent,Remote,2024-07-21,2024-11-04,extended,9,pending,no
95755161,6222711,active,31,25500,yes,8,yes,18,4590,2,Nadia Hussain,James Wilson,Silverline Payments,Technology,Software Engineer,contract,Republic of Ireland,2024-03-14,,not applicable,9,paid,no
85447578,9875662,extended contract,24,65000,yes,10,yes,12,7800,2,Laura Bennett,Sean O'Donnell,Pioneer Manufacturing,Manufacturing,Machine Learning Engineer,contract,England,2025-02-04,2025-11-30,failed,9,pending,no
82316189,5161739,terminated,40,70500,no,2,maybe,16,11280,4,Hannah Foster,Daniel Hughes,Harbourline Logistics,Education,Business Analyst,permanent,Scotland,2025-11-02,2027-03-20,failed,2,pending,yes
25195426,4979717,completed,56,25500,yes,7,maybe,12,3060,3,Claire Robinson,Grace Mitchell,QuantumWorks,Technology,Business Analyst,fixed-term,England,2026-01-02,2026-07-11,not applicable,8,pending,no
50332594,5034530,on probation,30,46500,yes,6,maybe,10,4650,4,Robert Lewis,Priya Nair,GreenGrid Energy,Energy,Project Manager,permanent,Wales,2023-03-30,,failed,,pending,no
76028852,7407847,on probation,50,66500,yes,1,maybe,17,11305,3,Emma Collins,Megan Campbell,MetroGov Digital,Telecommunications,AI Research Engineer,contract,Republic of Ireland,2025-02-04,,failed,,partially paid,no
43918264,1557215,on probation,50,28000,yes,8,yes,14,3920,4,Emma Collins,James Wilson,Summit Learning Tech,Manufacturing,HR Coordinator,permanent,Wales,2025-11-05,,extended,,paid,no
77161405,8854799,terminated,26,52000,yes,6,maybe,17,8840,3,Sanjay Rao,James Wilson,BlueHarbour Health,Manufacturing,Frontend Developer,permanent,Republic of Ireland,2024-10-08,2025-02-02,not applicable,6,paid,no
96113602,4669929,on probation,11,32500,yes,7,yes,11,3575,5,Marta Nowak,Sean O'Donnell,Pioneer Manufacturing,Energy,Technical Support Engineer,temp-to-perm,England,2025-12-07,,passed,,paid,no
58987459,4018329,terminated,35,44500,yes,4,no,11,4895,3,Marta Nowak,Thomas Wright,Nimbus Cyber Defence,Consulting,Product Manager,permanent,England,2025-05-23,2025-12-12,failed,3,paid,yes
77650908,9321936,active,47,58500,yes,7,maybe,19,11115,2,Laura Bennett,James Wilson,Foyle Secure Networks,Cybersecurity,Data Analyst,permanent,England,2023-02-26,,not applicable,8,not invoiced,no
79463389,1821148,extended contract,29,41000,yes,8,yes,15,6150,3,Nadia Hussain,Sean O'Donnell,GreenGrid Energy,Logistics,Marketing Analyst,temp-to-perm,Scotland,2024-02-15,2025-07-28,failed,9,paid,no
87981022,1499254,completed,56,35000,yes,9,yes,11,3850,5,Emma Collins,Sean O'Donnell,QuantumWorks,Financial Services,Finance Analyst,fixed-term,Wales,2026-02-04,2027-02-03,failed,10,pending,no
41034720,2589151,completed,39,47000,yes,9,maybe,10,4700,3,Michael Turner,Adam Clarke,Silverline Payments,Manufacturing,IoT Security Engineer,permanent,Northern Ireland,2023-06-01,2024-05-05,extended,7,pending,no
64691169,7321424,extended contract,19,38500,yes,8,yes,12,4620,3,Nadia Hussain,Priya Nair,Aster Cloud Systems,Retail,Software Engineer,fixed-term,Remote,2025-05-23,2027-02-19,failed,7,pending,no
46605280,4029750,terminated,9,50000,yes,2,maybe,17,8500,2,Oliver Green,Sofia Garcia,Pioneer Manufacturing,Technology,Product Manager,fixed-term,Remote,2023-03-12,2024-07-04,failed,3,pending,yes
76903404,5306326,terminated,28,62500,yes,2,no,12,7500,2,Marta Nowak,Daniel Hughes,Redstone AI,Cybersecurity,Sales Engineer,permanent,Remote,2025-08-28,2026-12-24,failed,2,paid,yes
99138574,7578023,completed,32,44000,yes,9,yes,17,7480,3,Marta Nowak,Grace Mitchell,Silverline Payments,Telecommunications,Full Stack Developer,contract,England,2024-08-29,2025-07-08,not applicable,8,paid,no
64068623,6062012,terminated,14,55000,yes,3,no,17,9350,3,Laura Bennett,James Wilson,Silverline Payments,Retail,Product Manager,permanent,Remote,2025-01-28,2026-04-17,extended,4,paid,yes
49755180,2571738,on probation,36,45000,yes,5,maybe,11,4950,3,Marta Nowak,Adam Clarke,Vertex Retail Solutions,Energy,Machine Learning Engineer,fixed-term,Wales,2025-04-25,,passed,,paid,no
34518061,6318797,active,27,94500,yes,8,yes,18,17010,4,Robert Lewis,Daniel Hughes,Harbourline Logistics,Healthcare,Backend Developer,permanent,Republic of Ireland,2025-08-25,,not applicable,7,paid,no
47172671,1851254,completed,45,45000,yes,9,yes,14,6300,4,Michael Turner,Grace Mitchell,Orion Telecom,Financial Services,Business Analyst,permanent,Republic of Ireland,2024-09-27,2025-02-11,not applicable,7,paid,no
45499460,3438219,active,30,34000,yes,7,maybe,12,4080,4,Robert Lewis,James Wilson,BrightPath Software,Healthcare,Full Stack Developer,permanent,Republic of Ireland,2024-11-29,,not applicable,7,paid,no
36230237,5671227,on probation,20,79500,yes,4,no,12,9540,2,Eoin Kelly,Amira Khan,NorthBridge Analytics,Retail,Sales Engineer,permanent,England,2023-07-05,,not applicable,,paid,no
29721696,7777457,active,50,36000,yes,8,yes,18,6480,5,Nadia Hussain,James Wilson,NorthBridge Analytics,Healthcare,UX Designer,contract,Republic of Ireland,2025-10-15,,not applicable,8,paid,no
59008097,3355779,extended contract,38,48000,pending,7,maybe,12,5760,3,Robert Lewis,Priya Nair,Vertex Retail Solutions,Financial Services,AI Research Engineer,temp-to-perm,Remote,2023-03-31,2024-11-23,failed,7,paid,no
94753891,4494587,active,34,23500,yes,8,yes,19,4465,3,Eoin Kelly,Amira Khan,NorthBridge Analytics,Technology,Cybersecurity Analyst,permanent,England,2023-07-27,,not applicable,7,partially paid,no
91386980,1976524,completed,30,47500,yes,8,yes,10,4750,4,Marta Nowak,James Wilson,NorthBridge Analytics,Education,Project Manager,contract,Wales,2025-04-08,2026-03-05,passed,7,paid,no
22221925,6161179,completed,19,48000,yes,7,maybe,12,5760,4,Laura Bennett,Thomas Wright,Foyle Secure Networks,Healthcare,Product Manager,fixed-term,Northern Ireland,2026-01-30,2026-07-21,failed,6,not invoiced,no
15258732,6453934,terminated,24,40000,no,2,maybe,18,7200,3,Robert Lewis,Thomas Wright,Cedar Finance Group,Retail,Technical Support Engineer,permanent,Remote,2023-10-29,2024-11-19,failed,2,partially paid,yes
19754103,6932130,on probation,14,21000,yes,8,yes,17,3570,2,Nadia Hussain,Adam Clarke,QuantumWorks,Logistics,Data Engineer,permanent,Scotland,2023-05-26,,extended,,paid,no
62446711,7573416,on probation,49,96000,yes,3,no,13,12480,3,Hannah Foster,Grace Mitchell,BrightPath Software,Energy,Machine Learning Engineer,permanent,England,2025-03-26,,extended,,pending,no
76692601,2804183,completed,48,88500,yes,10,yes,13,11505,2,Sanjay Rao,Adam Clarke,Nimbus Cyber Defence,Education,Product Manager,fixed-term,Republic of Ireland,2024-02-05,2024-06-22,not applicable,8,paid,no
90045561,9001231,on probation,52,61000,yes,4,maybe,15,9150,3,Patrick Murphy,Thomas Wright,Orion Telecom,Financial Services,Cybersecurity Analyst,permanent,Wales,2024-09-04,,failed,,paid,no
80321664,4818067,on probation,31,82500,yes,7,maybe,11,9075,2,Nadia Hussain,James Wilson,MetroGov Digital,Education,Solutions Architect,permanent,Northern Ireland,2023-02-22,,failed,,paid,no
18365575,6065159,active,41,94500,yes,9,yes,19,17955,4,Eoin Kelly,Thomas Wright,Aster Cloud Systems,Education,Sales Engineer,permanent,Northern Ireland,2023-08-07,,not applicable,8,paid,no
77665430,4163487,terminated,30,48000,no,5,maybe,18,8640,4,Michael Turner,Sofia Garcia,Silverline Payments,Manufacturing,Data Engineer,fixed-term,Northern Ireland,2024-02-07,2025-04-04,passed,6,not invoiced,yes
26932375,1108167,active,41,60500,yes,10,yes,18,10890,3,Eoin Kelly,Sean O'Donnell,Harbourline Logistics,Cybersecurity,Data Engineer,permanent,Republic of Ireland,2025-11-03,,not applicable,10,paid,no
59909271,2616946,completed,32,52000,yes,9,yes,15,7800,4,Nadia Hussain,Grace Mitchell,GreenGrid Energy,Education,Solutions Architect,permanent,Northern Ireland,2024-04-12,2024-09-09,passed,8,not invoiced,no
99241112,9405471,active,19,101500,yes,7,maybe,19,19285,3,Laura Bennett,Megan Campbell,Silverline Payments,Technology,Machine Learning Engineer,temp-to-perm,England,2023-12-09,,not applicable,7,paid,no
72709280,9415260,on probation,33,54000,yes,3,no,19,10260,3,Oliver Green,Sofia Garcia,Aster Cloud Systems,Financial Services,Software Engineer,permanent,Remote,2025-11-08,,failed,,paid,no
87456929,5984241,on probation,24,62500,yes,5,no,18,11250,1,Oliver Green,Adam Clarke,Silverline Payments,Cybersecurity,Backend Developer,permanent,England,2025-02-05,,failed,,pending,no
55571617,8475844,active,12,46000,yes,7,maybe,16,7360,3,Sanjay Rao,Sean O'Donnell,MetroGov Digital,Cybersecurity,Finance Analyst,permanent,Republic of Ireland,2024-04-01,,not applicable,5,not invoiced,no
49943726,2075529,active,49,40000,yes,8,maybe,17,6800,2,Hannah Foster,Grace Mitchell,Redstone AI,Logistics,HR Coordinator,permanent,Northern Ireland,2023-04-29,,not applicable,8,paid,no
71797935,4729813,terminated,31,33000,no,2,no,10,3300,4,Hannah Foster,Holly Evans,Silverline Payments,Logistics,QA Engineer,fixed-term,England,2025-12-25,2027-01-16,not applicable,3,paid,yes
96394421,7924626,terminated,7,44500,no,5,no,20,8900,2,Laura Bennett,Priya Nair,BrightPath Software,Consulting,Frontend Developer,permanent,Wales,2025-02-16,2025-05-18,failed,3,paid,yes
22617275,9030074,on probation,42,59500,yes,6,maybe,16,9520,2,Nadia Hussain,Daniel Hughes,MetroGov Digital,Cybersecurity,Frontend Developer,fixed-term,Northern Ireland,2024-05-07,,passed,,paid,no
60044481,8766282,active,40,61500,yes,9,yes,17,10455,3,Claire Robinson,Holly Evans,Orion Telecom,Consulting,Cloud Engineer,permanent,Remote,2025-06-25,,not applicable,8,paid,no
96699586,8379476,active,24,36500,yes,5,no,12,4380,5,Emma Collins,Sean O'Donnell,Cobalt Consulting,Logistics,UX Designer,contract,Remote,2023-11-08,,not applicable,5,paid,no
24163525,3550836,terminated,30,44500,no,2,no,19,8455,4,Oliver Green,Grace Mitchell,Pioneer Manufacturing,Consulting,Business Analyst,temp-to-perm,England,2023-05-04,2024-09-17,passed,3,paid,yes
52628687,4485702,on probation,35,62500,no,5,maybe,10,6250,3,Nadia Hussain,Priya Nair,QuantumWorks,Technology,Frontend Developer,fixed-term,Scotland,2024-09-28,,failed,,paid,no
29250773,6460281,active,23,44500,yes,7,yes,11,4895,5,Patrick Murphy,Daniel Hughes,NorthBridge Analytics,Energy,UX Designer,fixed-term,Remote,2023-11-05,,not applicable,5,pending,no
78050521,2991150,terminated,31,27000,no,4,maybe,18,4860,3,Michael Turner,Amira Khan,Harbourline Logistics,Manufacturing,Database Administrator,permanent,England,2025-05-25,2026-01-26,not applicable,2,partially paid,yes
70042851,6091659,extended contract,41,74000,pending,9,yes,18,13320,2,Hannah Foster,Amira Khan,OakTree Platforms,Consulting,IoT Security Engineer,permanent,Scotland,2024-02-28,2025-09-26,passed,8,paid,no
92148963,4534819,on probation,37,32500,no,1,no,20,6500,3,Sanjay Rao,Grace Mitchell,Harbourline Logistics,Telecommunications,Solutions Architect,fixed-term,Republic of Ireland,2025-06-24,,failed,,paid,no
74415333,1947933,on probation,6,36000,yes,6,yes,15,5400,2,Eoin Kelly,Sean O'Donnell,OakTree Platforms,Cybersecurity,Product Manager,permanent,Wales,2023-03-29,,extended,,paid,no
99968246,5391899,active,38,39000,yes,8,yes,12,4680,1,Laura Bennett,Sofia Garcia,Cobalt Consulting,Financial Services,Data Analyst,permanent,Remote,2026-01-29,,not applicable,9,pending,no
34807036,4582300,terminated,21,41000,yes,2,no,13,5330,2,Michael Turner,Adam Clarke,MetroGov Digital,Financial Services,HR Coordinator,permanent,Republic of Ireland,2024-02-23,2025-07-02,passed,3,paid,yes
12803325,5144340,terminated,46,63500,yes,6,maybe,19,12065,3,Emma Collins,Priya Nair,Cedar Finance Group,Telecommunications,Project Manager,contract,Republic of Ireland,2024-09-13,2025-10-03,extended,7,pending,no
53509386,7699201,on probation,39,49500,yes,8,yes,12,5940,5,Emma Collins,Megan Campbell,OakTree Platforms,Public Sector,Cloud Engineer,permanent,Wales,2024-08-23,,not applicable,,pending,no
37127443,6357619,on probation,53,52500,no,1,maybe,16,8400,4,Laura Bennett,Priya Nair,BlueHarbour Health,Manufacturing,Software Engineer,permanent,Northern Ireland,2024-12-28,,not applicable,,pending,no
38448419,7563182,extended contract,30,41000,yes,9,yes,15,6150,3,Hannah Foster,Daniel Hughes,NorthBridge Analytics,Cybersecurity,Project Manager,fixed-term,Northern Ireland,2025-10-13,2027-08-31,extended,10,paid,no
89402664,6406998,completed,48,27000,yes,6,maybe,15,4050,1,Robert Lewis,Sean O'Donnell,Redstone AI,Public Sector,Finance Analyst,permanent,Scotland,2024-08-26,2025-08-17,not applicable,6,pending,no
79451435,4371541,extended contract,38,45000,yes,10,yes,12,5400,3,Robert Lewis,Daniel Hughes,GreenGrid Energy,Consulting,QA Engineer,fixed-term,Remote,2024-01-09,2025-11-17,extended,8,pending,no
79310140,8589811,active,23,70000,yes,8,yes,10,7000,2,Nadia Hussain,Sofia Garcia,GreenGrid Energy,Technology,Finance Analyst,temp-to-perm,England,2024-11-30,,not applicable,9,paid,no
27958590,7284900,terminated,23,27500,no,1,no,13,3575,3,Hannah Foster,Adam Clarke,Aster Cloud Systems,Logistics,Data Analyst,contract,Scotland,2024-11-06,2025-12-27,passed,1,pending,yes
52944203,1337348,terminated,30,41000,no,1,no,12,4920,2,Emma Collins,James Wilson,Aster Cloud Systems,Technology,Frontend Developer,fixed-term,Northern Ireland,2025-09-30,2027-02-09,not applicable,2,pending,yes
68982096,6466516,active,60,77500,pending,5,maybe,14,10850,2,Sanjay Rao,Priya Nair,Pioneer Manufacturing,Education,Frontend Developer,permanent,Remote,2023-10-23,,not applicable,5,paid,no
42599760,7574092,extended contract,6,48000,yes,8,yes,12,5760,4,Sanjay Rao,Grace Mitchell,NorthBridge Analytics,Energy,DevOps Engineer,permanent,Remote,2025-05-02,2027-01-22,not applicable,7,paid,no
92132697,5638874,terminated,61,19000,no,1,no,13,2470,2,Sanjay Rao,Thomas Wright,Harbourline Logistics,Healthcare,QA Engineer,permanent,Wales,2025-02-05,2025-11-19,failed,1,paid,yes
12631389,7170684,terminated,13,60500,no,1,no,16,9680,3,Laura Bennett,Priya Nair,OakTree Platforms,Technology,Business Analyst,temp-to-perm,Remote,2024-03-08,2024-06-22,extended,2,paid,yes
28241248,2278598,terminated,34,60000,no,4,no,13,7800,2,Oliver Green,Megan Campbell,Pioneer Manufacturing,Retail,Sales Engineer,permanent,Republic of Ireland,2025-01-09,2025-08-28,not applicable,5,paid,yes
73108832,8942029,completed,26,67000,yes,8,yes,20,13400,3,Emma Collins,Sean O'Donnell,Summit Learning Tech,Education,IoT Security Engineer,permanent,Wales,2023-02-25,2023-05-12,failed,8,pending,no
87719268,5674290,terminated,21,42500,no,2,no,11,4675,3,Robert Lewis,Daniel Hughes,BrightPath Software,Energy,Product Manager,permanent,Republic of Ireland,2026-01-16,2026-04-17,failed,1,paid,yes
26922341,3928257,on probation,57,42500,yes,7,maybe,15,6375,2,Oliver Green,Grace Mitchell,Pioneer Manufacturing,Telecommunications,Technical Support Engineer,contract,Scotland,2024-04-23,,failed,,pending,no
77596006,7420423,terminated,26,53500,yes,1,no,17,9095,1,Laura Bennett,Thomas Wright,NorthBridge Analytics,Healthcare,Cybersecurity Analyst,contract,Wales,2025-04-14,2026-02-26,extended,2,paid,yes
87364968,5987586,completed,26,70000,yes,8,yes,13,9100,2,Eoin Kelly,Thomas Wright,GreenGrid Energy,Cybersecurity,Cloud Engineer,permanent,Republic of Ireland,2025-08-04,2026-02-13,passed,7,pending,no
89036137,9766720,completed,46,24000,yes,10,yes,19,4560,3,Robert Lewis,Daniel Hughes,Cobalt Consulting,Telecommunications,Frontend Developer,permanent,Remote,2023-12-19,2025-05-20,extended,9,paid,no
45163881,3746884,on probation,37,97500,yes,8,yes,16,15600,2,Eoin Kelly,James Wilson,NorthBridge Analytics,Retail,Full Stack Developer,fixed-term,Republic of Ireland,2024-07-14,,extended,,paid,no
24845677,3192114,terminated,31,25000,no,2,no,13,3250,3,Hannah Foster,Naomi Patel,Harbourline Logistics,Logistics,Technical Support Engineer,fixed-term,England,2023-12-11,2024-03-14,failed,1,pending,yes
12078447,5070357,completed,50,30000,yes,10,yes,15,4500,2,Michael Turner,Amira Khan,Cedar Finance Group,Energy,Project Manager,contract,Northern Ireland,2025-11-24,2026-11-30,not applicable,9,pending,no
50204017,2357601,completed,32,30000,yes,7,yes,12,3600,2,Hannah Foster,Thomas Wright,Orion Telecom,Cybersecurity,IoT Security Engineer,contract,Wales,2025-07-11,2025-10-24,extended,6,paid,no
28411249,9675005,terminated,49,41500,no,3,no,20,8300,4,Nadia Hussain,Amira Khan,QuantumWorks,Technology,IoT Security Engineer,contract,England,2024-12-16,2025-02-14,passed,2,paid,yes
77770104,8125408,active,26,42000,yes,7,maybe,18,7560,4,Hannah Foster,James Wilson,Foyle Secure Networks,Manufacturing,Machine Learning Engineer,fixed-term,Republic of Ireland,2024-02-24,,not applicable,6,pending,no
53355903,7434300,terminated,5,26500,yes,5,no,17,4505,3,Sanjay Rao,Sofia Garcia,BlueHarbour Health,Public Sector,Business Analyst,fixed-term,Remote,2025-11-15,2026-12-20,failed,4,partially paid,yes
37092740,1360061,active,23,25500,yes,8,yes,15,3825,5,Hannah Foster,Priya Nair,Nimbus Cyber Defence,Public Sector,Cybersecurity Analyst,contract,Scotland,2024-03-24,,not applicable,6,pending,no
54949265,5921211,terminated,23,54500,yes,6,maybe,12,6540,3,Sanjay Rao,Daniel Hughes,Foyle Secure Networks,Cybersecurity,IoT Security Engineer,permanent,England,2023-10-30,2025-03-30,not applicable,4,paid,no
49395091,1396967,on probation,38,87000,no,5,no,13,11310,3,Michael Turner,Priya Nair,MetroGov Digital,Telecommunications,DevOps Engineer,fixed-term,England,2025-01-27,,failed,,paid,no
35083676,6649425,active,36,69500,yes,7,maybe,16,11120,3,Claire Robinson,Amira Khan,BrightPath Software,Retail,DevOps Engineer,permanent,Northern Ireland,2024-07-30,,not applicable,5,pending,no
52981160,9639421,completed,31,85000,yes,9,yes,13,11050,3,Hannah Foster,Amira Khan,Pioneer Manufacturing,Cybersecurity,Solutions Architect,permanent,Wales,2024-02-02,2024-08-23,not applicable,8,paid,no
16068014,7842083,on probation,29,47500,no,5,maybe,14,6650,3,Robert Lewis,Amira Khan,Cedar Finance Group,Telecommunications,Full Stack Developer,permanent,Wales,2023-02-09,,not applicable,,partially paid,no
